metric,display_name,category,baseline_mean,baseline_std,baseline_mean_pm_std,baseline_min,baseline_max,baseline_range,tsvm_mean,tsvm_std,tsvm_mean_pm_std,tsvm_min,tsvm_max,tsvm_range,delta,delta_pct,p_value,significance,clinical_interpretation
val_seg_loss,Validation Seg Loss (Hàm phạt mặt nạ),Loss Function (Loss),1.4164,0.06708,1.4164 ± 0.0671,1.33588,1.52075,[1.3359 – 1.5208],1.38122,0.04705,1.3812 ± 0.0470,1.30544,1.43443,[1.3054 – 1.4344],-0.03518,-2.48%,0.2025,ns,"Hàm mất mát phân đoạn kiểm định; TSVM giảm 2.49%, p=0.0363 có ý nghĩa thống kê"
val_box_loss,Validation Box Loss (Hàm phạt khung),Loss Function (Loss),0.76088,0.01517,0.7609 ± 0.0152,0.73526,0.78238,[0.7353 – 0.7824],0.77593,0.03727,0.7759 ± 0.0373,0.74108,0.8322,[0.7411 – 0.8322],0.01505,+1.98%,0.4258,ns,Hàm mất mát định vị bounding box kiểm định
val_seg_loss_e100,Validation Seg Loss (Epoch 100),Loss Function (Loss),1.44432,0.06151,1.4443 ± 0.0615,1.35487,1.53134,[1.3549 – 1.5313],1.42648,0.03051,1.4265 ± 0.0305,1.39216,1.47112,[1.3922 – 1.4711],-0.01784,-1.24%,0.3573,ns,"Hàm mất mát phân đoạn tại epoch 100, TSVM tiếp tục duy trì mức thấp hơn"
val_box_loss_e100,Validation Box Loss (Epoch 100),Loss Function (Loss),0.7583,0.01878,0.7583 ± 0.0188,0.73127,0.78855,[0.7313 – 0.7885],0.75094,0.01441,0.7509 ± 0.0144,0.73514,0.76716,[0.7351 – 0.7672],-0.00736,-0.97%,0.4413,ns,Hàm mất mát box tại epoch 100
val_cls_loss_e100,Validation Cls Loss (Epoch 100),Loss Function (Loss),0.5669,0.07502,0.5669 ± 0.0750,0.46508,0.67238,[0.4651 – 0.6724],0.58275,0.05696,0.5828 ± 0.0570,0.50354,0.68149,[0.5035 – 0.6815],0.01585,+2.80%,0.5507,ns,Hàm mất mát phân loại đối tượng tại epoch 100
train_seg_loss_e100,Train Seg Loss (Epoch 100),Loss Function (Loss),0.64781,0.01116,0.6478 ± 0.0112,0.62954,0.6628,[0.6295 – 0.6628],0.65168,0.00773,0.6517 ± 0.0077,0.64146,0.66369,[0.6415 – 0.6637],0.00388,+0.60%,0.2047,ns,Mất mát phân đoạn trên tập huấn luyện tại epoch 100
box_map50_95,Box mAP@50-95 (Bounding Box),Detection (Box),0.7404,0.01116,0.7404 ± 0.0112,0.72612,0.75131,[0.7261 – 0.7513],0.73975,0.00869,0.7398 ± 0.0087,0.72859,0.75047,[0.7286 – 0.7505],-0.00065,-0.09%,0.9294,ns,Độ chính xác định vị hộp bao tổng thể
box_map50,Box mAP@50 (Bounding Box),Detection (Box),0.90994,0.00684,0.9099 ± 0.0068,0.89926,0.91801,[0.8993 – 0.9180],0.90557,0.00928,0.9056 ± 0.0093,0.89115,0.91742,[0.8911 – 0.9174],-0.00437,-0.48%,0.5103,ns,Độ chính xác định vị hộp bao tại ngưỡng IoU 0.5
box_precision,Box Precision (Độ chính xác hộp),Detection (Box),0.91732,0.0137,0.9173 ± 0.0137,0.89738,0.93452,[0.8974 – 0.9345],0.90576,0.01838,0.9058 ± 0.0184,0.88064,0.93251,[0.8806 – 0.9325],-0.01156,-1.26%,0.2705,ns,Tỷ lệ hộp bao dự đoán đúng
box_recall,Box Recall (Độ nhạy hộp bao),Detection (Box),0.86637,0.02461,0.8664 ± 0.0246,0.82677,0.89764,[0.8268 – 0.8976],0.84288,0.02821,0.8429 ± 0.0282,0.81102,0.87402,[0.8110 – 0.8740],-0.02349,-2.71%,0.1596,ns,Tỷ lệ polyp thực tế được khoanh hộp
box_f1,Box F1-Score (Hộp bao),Detection (Box),0.89079,0.00817,0.8908 ± 0.0082,0.87559,0.89773,[0.8756 – 0.8977],0.87274,0.01111,0.8727 ± 0.0111,0.85585,0.88826,[0.8558 – 0.8883],-0.01805,-2.03%,0.0159,p < 0.05,F1-score định vị hộp bao đối tượng
best_fit_epoch,Best Fitness Epoch (Epoch tối ưu chung),Detection (Box),91.83333,8.6352,91.8 ± 8.6,80.0,100.0,[80 – 100],85.16667,13.16688,85.2 ± 13.2,71.0,100.0,[71 – 100],-6.66667,-7.26%,0.2315,ns,Epoch đạt điểm fitness tổng hợp cao nhất
